# MRF sequence pattern
# created: 2017-07-28T14:05:39.749000
# type: jiang
# length: 500
# inv_delay (ms): 15.0
# min FA (ms): 0.0
# max FA (ms): 60.0
# min TR (ms): 15.0
# max TR (ms): 15.0
# min TE (ms): 6.0
# max TE (ms): 6.0
# repetition_delay (ms): 6000.0
# n_dummies: 0
# FA (deg), TR (ms), phase (deg), TE (ms)
23.9105058608,15.0,0.0,6.0
24.6108158359,15.0,0.0,6.0
25.3063826237,15.0,0.0,6.0
25.9992246355,15.0,0.0,6.0
26.6915547075,15.0,0.0,6.0
27.3857201362,15.0,0.0,6.0
28.0841358969,15.0,0.0,6.0
28.7892131492,15.0,0.0,6.0
29.5032854928,15.0,0.0,6.0
30.2285356696,15.0,0.0,6.0
30.9669254967,15.0,0.0,6.0
31.7201317447,15.0,0.0,6.0
32.4894904516,15.0,0.0,6.0
33.2759517886,15.0,0.0,6.0
34.0800471047,15.0,0.0,6.0
34.9018691882,15.0,0.0,6.0
35.7410661503,15.0,0.0,6.0
36.5968486836,15.0,0.0,6.0
37.468009828,15.0,0.0,6.0
38.3529558238,15.0,0.0,6.0
39.2497461741,15.0,0.0,6.0
40.1561407089,15.0,0.0,6.0
41.0696512486,15.0,0.0,6.0
41.9875954177,15.0,0.0,6.0
42.9071502531,15.0,0.0,6.0
43.8254034793,15.0,0.0,6.0
44.7394006594,15.0,0.0,6.0
45.6461868582,15.0,0.0,6.0
46.5428419401,15.0,0.0,6.0
47.4265091383,15.0,0.0,6.0
48.2944170367,15.0,0.0,6.0
49.1438955804,15.0,0.0,6.0
49.9723871252,15.0,0.0,6.0
50.7774538478,15.0,0.0,6.0
51.5567830223,15.0,0.0,6.0
52.3081917331,15.0,0.0,6.0
53.0296325196,15.0,0.0,6.0
53.719201247,15.0,0.0,6.0
54.3751481866,15.0,0.0,6.0
54.9958928853,15.0,0.0,6.0
55.5800429492,15.0,0.0,6.0
56.126416385,15.0,0.0,6.0
56.6340666844,15.0,0.0,6.0
57.1023094307,15.0,0.0,6.0
57.5307488826,15.0,0.0,6.0
57.9193027835,15.0,0.0,6.0
58.2682235535,15.0,0.0,6.0
58.5781140675,15.0,0.0,6.0
58.849936385,15.0,0.0,6.0
59.0850120787,15.0,0.0,6.0
59.285013172,15.0,0.0,6.0
59.4519431295,15.0,0.0,6.0
59.5881078137,15.0,0.0,6.0
59.6960768036,15.0,0.0,6.0
59.7786359402,15.0,0.0,6.0
59.8387323952,15.0,0.0,6.0
59.8794139409,15.0,0.0,6.0
59.9037644033,15.0,0.0,6.0
59.9148375095,15.0,0.0,6.0
59.9155914657,15.0,0.0,6.0
59.9088266333,15.0,0.0,6.0
59.8971285913,15.0,0.0,6.0
59.8828186868,15.0,0.0,6.0
59.8679138884,15.0,0.0,6.0
59.8540973741,15.0,0.0,6.0
59.8427008272,15.0,0.0,6.0
59.8346988999,15.0,0.0,6.0
59.8307157601,15.0,0.0,6.0
59.831043102,15.0,0.0,6.0
59.835668492,15.0,0.0,6.0
59.8443124842,15.0,0.0,6.0
59.85647259,15.0,0.0,6.0
59.8714719446,15.0,0.0,6.0
59.8885103904,15.0,0.0,6.0
59.9067156975,15.0,0.0,6.0
59.9251927457,15.0,0.0,6.0
59.9430687018,15.0,0.0,6.0
59.9595325032,15.0,0.0,6.0
59.9738672976,15.0,0.0,6.0
59.9854748501,15.0,0.0,6.0
59.993891309,15.0,0.0,6.0
59.9987940911,15.0,0.0,6.0
60.0,15.0,0.0,6.0
59.9974550157,15.0,0.0,6.0
59.9912164915,15.0,0.0,6.0
59.9814287478,15.0,0.0,6.0
59.9682932795,15.0,0.0,6.0
59.9520349714,15.0,0.0,6.0
59.9328658539,15.0,0.0,6.0
59.910948023,15.0,0.0,6.0
59.8863573808,15.0,0.0,6.0
59.8590498292,15.0,0.0,6.0
59.8288314654,15.0,0.0,6.0
59.7953341752,15.0,0.0,6.0
59.7579978088,15.0,0.0,6.0
59.7160598615,15.0,0.0,6.0
59.668553266,15.0,0.0,6.0
59.6143125712,15.0,0.0,6.0
59.5519884268,15.0,0.0,6.0
59.4800699515,15.0,0.0,6.0
59.3969142429,15.0,0.0,6.0
59.3007820115,15.0,0.0,6.0
59.1898780948,15.0,0.0,6.0
59.0623954542,15.0,0.0,6.0
58.9165611648,15.0,0.0,6.0
58.7506828926,15.0,0.0,6.0
58.5631943976,15.0,0.0,6.0
58.35269871,15.0,0.0,6.0
58.1180077789,15.0,0.0,6.0
57.858177581,15.0,0.0,6.0
57.5725378866,15.0,0.0,6.0
57.2607160961,15.0,0.0,6.0
