# MRF sequence pattern
# created: 2017-07-28T14:08:17.909000
# type: jiang
# length: 1000
# inv_delay (ms): 20.0
# min FA (ms): 0.0
# max FA (ms): 70.0
# min TR (ms): 16.0
# max TR (ms): 16.0
# min TE (ms): 5.5
# max TE (ms): 5.5
# repetition_delay (ms): 6000.0
# n_dummies: 0
# FA (deg), TR (ms), phase (deg), TE (ms)
26.05,16.0,180.0,5.5
25.09,16.0,0.0,5.5
24.11,16.0,180.0,5.5
23.13,16.0,0.0,5.5
22.15,16.0,180.0,5.5
21.16,16.0,0.0,5.5
20.17,16.0,180.0,5.5
19.18,16.0,0.0,5.5
18.18,16.0,180.0,5.5
17.18,16.0,0.0,5.5
16.18,16.0,180.0,5.5
15.17,16.0,0.0,5.5
14.16,16.0,180.0,5.5
13.15,16.0,0.0,5.5
12.13,16.0,180.0,5.5
11.12,16.0,0.0,5.5
10.1,16.0,180.0,5.5
9.08,16.0,0.0,5.5
8.06,16.0,180.0,5.5
7.04,16.0,0.0,5.5
6.02,16.0,180.0,5.5
5.0,16.0,0.0,5.5
0.0,16.0,180.0,5.5
0.0,16.0,0.0,5.5
0.0,16.0,180.0,5.5
0.0,16.0,0.0,5.5
0.0,16.0,180.0,5.5
0.0,16.0,0.0,5.5
0.0,16.0,180.0,5.5
0.0,16.0,0.0,5.5
0.0,16.0,180.0,5.5
5.63,16.0,0.0,5.5
6.26,16.0,180.0,5.5
6.88,16.0,0.0,5.5
7.51,16.0,180.0,5.5
8.14,16.0,0.0,5.5
8.76,16.0,180.0,5.5
9.39,16.0,0.0,5.5
10.01,16.0,180.0,5.5
10.64,16.0,0.0,5.5
11.26,16.0,180.0,5.5
11.88,16.0,0.0,5.5
12.5,16.0,180.0,5.5
13.11,16.0,0.0,5.5
13.73,16.0,180.0,5.5
14.34,16.0,0.0,5.5
14.95,16.0,180.0,5.5
15.55,16.0,0.0,5.5
16.16,16.0,180.0,5.5
16.76,16.0,0.0,5.5
17.36,16.0,180.0,5.5
17.96,16.0,0.0,5.5
